event,begin,end
Champions_League,2015-07-29 21:05:00,2015-07-29 22:50:00
Champions_League,2015-08-04 20:15:00,2015-08-04 22:00:00
Champions_League,2015-09-15 20:45:00,2015-09-15 22:30:00
Champions_League,2015-09-30 20:45:00,2015-09-30 22:30:00
Champions_League,2015-10-21 20:45:00,2015-10-21 22:30:00
Champions_League,2015-11-03 20:45:00,2015-11-03 22:30:00
Champions_League,2015-11-25 20:45:00,2015-11-25 22:30:00
Champions_League,2015-12-08 20:45:00,2015-12-08 22:30:00
Champions_League,2016-02-24 20:45:00,2016-02-24 22:30:00
Champions_League,2016-03-15 20:45:00,2016-03-15 22:30:00
Champions_League,2016-07-26 20:45:00,2016-07-26 22:30:00
Champions_League,2016-08-03 20:45:00,2016-08-03 22:30:00
Champions_League,2016-08-16 20:45:00,2016-08-16 22:30:00
Champions_League,2016-08-24 20:45:00,2016-08-24 22:30:00
Champions_League,2016-09-13 20:45:00,2016-09-13 22:30:00
Champions_League,2016-09-13 20:45:00,2016-09-13 22:30:00
Champions_League,2016-09-13 20:45:00,2016-09-13 22:30:00
Champions_League,2016-09-13 20:45:00,2016-09-13 22:30:00
Champions_League,2016-09-13 20:45:00,2016-09-13 22:30:00
Champions_League,2016-09-13 20:45:00,2016-09-13 22:30:00
Champions_League,2016-09-13 20:45:00,2016-09-13 22:30:00
Champions_League,2016-09-14 20:45:00,2016-09-14 22:30:00
Champions_League,2016-09-14 20:45:00,2016-09-14 22:30:00
Champions_League,2016-09-14 20:45:00,2016-09-14 22:30:00
Champions_League,2016-09-14 20:45:00,2016-09-14 22:30:00
Champions_League,2016-09-14 20:45:00,2016-09-14 22:30:00
Champions_League,2016-09-14 20:45:00,2016-09-14 22:30:00
Champions_League,2016-09-14 20:45:00,2016-09-14 22:30:00
Champions_League,2016-09-14 20:45:00,2016-09-14 22:30:00
Champions_League,2016-09-14 20:45:00,2016-09-14 22:30:00
Champions_League,2016-09-27 20:45:00,2016-09-27 22:30:00
Champions_League,2016-09-27 20:45:00,2016-09-27 22:30:00
Champions_League,2016-09-27 20:45:00,2016-09-27 22:30:00
Champions_League,2016-09-27 20:45:00,2016-09-27 22:30:00
Champions_League,2016-09-27 20:45:00,2016-09-27 22:30:00
Champions_League,2016-09-27 20:45:00,2016-09-27 22:30:00
Champions_League,2016-09-27 20:45:00,2016-09-27 22:30:00
Champions_League,2016-09-27 20:45:00,2016-09-27 22:30:00
Champions_League,2016-09-28 20:45:00,2016-09-28 22:30:00
Champions_League,2016-09-28 20:45:00,2016-09-28 22:30:00
Champions_League,2016-09-28 20:45:00,2016-09-28 22:30:00
Champions_League,2016-09-28 20:45:00,2016-09-28 22:30:00
Champions_League,2016-09-28 20:45:00,2016-09-28 22:30:00
Champions_League,2016-09-28 20:45:00,2016-09-28 22:30:00
Champions_League,2016-09-28 20:45:00,2016-09-28 22:30:00
Champions_League,2016-09-28 20:45:00,2016-09-28 22:30:00
Champions_League,2016-10-18 20:45:00,2016-10-18 22:30:00
Champions_League,2016-10-18 20:45:00,2016-10-18 22:30:00
Champions_League,2016-10-18 20:45:00,2016-10-18 22:30:00
