event,begin,end
Hohes Friedensfest Augsburg,2025-08-08,2025-08-09
Pfingstmontag,2025-06-09,2025-06-10
Zweiter Weihnachtstag,2022-12-26,2022-12-27
Heilige Drei Könige,2024-01-06,2024-01-07
Christi Himmelfahrt,2025-05-29,2025-05-30
Fronleichnam,2022-06-16,2022-06-17
Tag der Arbeit (1. Mai),2023-05-01,2023-05-02
Ostern,2022-04-17,2022-04-18
Allerheiligen,2022-11-01,2022-11-02
Pfingsten,2024-05-19,2024-05-20
Karfreitag,2023-04-07,2023-04-08
Tag der Deutschen Einheit,2025-10-03,2025-10-04
Mariä Himmelfahrt,2025-08-15,2025-08-16
Hohes Friedensfest Augsburg,2022-08-08,2022-08-09
Zweiter Weihnachtstag,2025-12-26,2025-12-27
Pfingsten,2023-05-28,2023-05-29
Ostern,2025-04-20,2025-04-21
Neujahrstag,2023-01-01,2023-01-02
Mariä Himmelfahrt,2022-08-15,2022-08-16
Buß- und Bettag,2023-11-22,2023-11-23
Erster Weihnachtstag,2022-12-25,2022-12-26
Pfingstmontag,2024-05-20,2024-05-21
Hohes Friedensfest Augsburg,2024-08-08,2024-08-09
Hohes Friedensfest Augsburg,2023-08-08,2023-08-09
Reformationstag,2022-10-31,2022-11-01
Ostermontag,2024-04-01,2024-04-02
Karfreitag,2024-03-29,2024-03-30
Tag der Deutschen Einheit,2023-10-03,2023-10-04
Tag der Deutschen Einheit,2024-10-03,2024-10-04
Tag der Deutschen Einheit,2022-10-03,2022-10-04
Christi Himmelfahrt,2024-05-09,2024-05-10
Ostern,2024-03-31,2024-04-01
Heilige Drei Könige,2023-01-06,2023-01-07
Karfreitag,2025-04-18,2025-04-19
Allerheiligen,2024-11-01,2024-11-02
Ostermontag,2022-04-18,2022-04-19
Fronleichnam,2024-05-30,2024-05-31
Christi Himmelfahrt,2022-05-26,2022-05-27
Fronleichnam,2025-06-19,2025-06-20
Christi Himmelfahrt,2023-05-18,2023-05-19
Zweiter Weihnachtstag,2024-12-26,2024-12-27
Tag der Arbeit (1. Mai),2022-05-01,2022-05-02
Ostern,2023-04-09,2023-04-10
Reformationstag,2024-10-31,2024-11-01
Zweiter Weihnachtstag,2023-12-26,2023-12-27
Reformationstag,2023-10-31,2023-11-01
Pfingstmontag,2022-06-06,2022-06-07
Pfingsten,2025-06-08,2025-06-09
Allerheiligen,2025-11-01,2025-11-02
Pfingsten,2022-06-05,2022-06-06
Buß- und Bettag,2024-11-20,2024-11-21
Tag der Arbeit (1. Mai),2024-05-01,2024-05-02
Heilige Drei Könige,2022-01-06,2022-01-07
Erster Weihnachtstag,2024-12-25,2024-12-26
Karfreitag,2022-04-15,2022-04-16
Reformationstag,2025-10-31,2025-11-01
Erster Weihnachtstag,2025-12-25,2025-12-26
Heilige Drei Könige,2025-01-06,2025-01-07
Erster Weihnachtstag,2023-12-25,2023-12-26
Buß- und Bettag,2022-11-16,2022-11-17
Neujahrstag,2024-01-01,2024-01-02
Buß- und Bettag,2025-11-19,2025-11-20
Neujahrstag,2025-01-01,2025-01-02
Ostermontag,2023-04-10,2023-04-11
Mariä Himmelfahrt,2024-08-15,2024-08-16
Neujahrstag,2022-01-01,2022-01-02
Pfingstmontag,2023-05-29,2023-05-30
Tag der Arbeit (1. Mai),2025-05-01,2025-05-02
Ostermontag,2025-04-21,2025-04-22
Mariä Himmelfahrt,2023-08-15,2023-08-16
Allerheiligen,2023-11-01,2023-11-02
Fronleichnam,2023-06-08,2023-06-09
